"parameter","mean","sd","pt","group","model"
"cs",0.131,0.003,99,"All","eRL"
"E0",0.093,0.002,99,"All","eRL"
"eta",0.005,0,99,"All","eRL"
"gam",0.049,0.002,99,"All","eRL"
"alpha",0.113,0.002,100,"All","eRL"
"cs",0.131,0.003,100,"All","eRL"
"E0",0.093,0.002,100,"All","eRL"
"eta",0.005,0,100,"All","eRL"
"gam",0.049,0.002,100,"All","eRL"
"alpha",0.113,0.002,101,"All","eRL"
"cs",0.131,0.002,101,"All","eRL"
"E0",0.093,0.002,101,"All","eRL"
"eta",0.005,0,101,"All","eRL"
"gam",0.049,0.002,101,"All","eRL"
"alpha",0.113,0.002,102,"All","eRL"
"cs",0.131,0.002,102,"All","eRL"
"E0",0.093,0.001,102,"All","eRL"
"eta",0.005,0,102,"All","eRL"
"gam",0.049,0.001,102,"All","eRL"
"alpha",0.113,0.002,103,"All","eRL"
"cs",0.131,0.002,103,"All","eRL"
"E0",0.093,0.001,103,"All","eRL"
"eta",0.005,0,103,"All","eRL"
"gam",0.049,0.001,103,"All","eRL"
"alpha",0.113,0.002,104,"All","eRL"
"cs",0.131,0.002,104,"All","eRL"
"E0",0.093,0.001,104,"All","eRL"
"eta",0.005,0,104,"All","eRL"
"gam",0.049,0.001,104,"All","eRL"
"alpha",0.113,0.001,105,"All","eRL"
"cs",0.131,0.002,105,"All","eRL"
"E0",0.093,0.001,105,"All","eRL"
"eta",0.005,0,105,"All","eRL"
"gam",0.049,0.001,105,"All","eRL"
"alpha",0.113,0.001,106,"All","eRL"
"cs",0.131,0.002,106,"All","eRL"
"E0",0.093,0.001,106,"All","eRL"
"eta",0.005,0,106,"All","eRL"
"gam",0.049,0.001,106,"All","eRL"
"alpha",0.113,0.001,107,"All","eRL"
"cs",0.131,0.001,107,"All","eRL"
"E0",0.093,0.001,107,"All","eRL"
"eta",0.005,0,107,"All","eRL"
"gam",0.049,0.001,107,"All","eRL"
"alpha",0.113,0.001,108,"All","eRL"
"cs",0.131,0.001,108,"All","eRL"
"E0",0.093,0,108,"All","eRL"
"eta",0.005,0,108,"All","eRL"
"gam",0.049,0.001,108,"All","eRL"
"alpha",0.113,0,109,"All","eRL"
"cs",0.131,0,109,"All","eRL"
"E0",0.093,0,109,"All","eRL"
"eta",0.005,0,109,"All","eRL"
"gam",0.049,0,109,"All","eRL"
"alpha",0.059,0.052,2,"All","RL"
"cs",0.109,0.082,2,"All","RL"
"E0",0.079,0.063,2,"All","RL"
"eta",0.003,0.003,2,"All","RL"
"alpha",0.066,0.043,3,"All","RL"
"cs",0.123,0.06,3,"All","RL"
"E0",0.097,0.057,3,"All","RL"
"eta",0.003,0.002,3,"All","RL"
"alpha",0.074,0.042,4,"All","RL"
"cs",0.127,0.059,4,"All","RL"
"E0",0.099,0.042,4,"All","RL"
"eta",0.004,0.002,4,"All","RL"
"alpha",0.071,0.032,5,"All","RL"
"cs",0.121,0.046,5,"All","RL"
"E0",0.101,0.038,5,"All","RL"
"eta",0.004,0.002,5,"All","RL"
"alpha",0.073,0.032,6,"All","RL"
"cs",0.129,0.044,6,"All","RL"
"E0",0.104,0.037,6,"All","RL"
"eta",0.004,0.002,6,"All","RL"
"alpha",0.077,0.03,7,"All","RL"
"cs",0.128,0.038,7,"All","RL"
"E0",0.103,0.033,7,"All","RL"
"eta",0.004,0.001,7,"All","RL"
"alpha",0.076,0.027,8,"All","RL"
"cs",0.128,0.038,8,"All","RL"
"E0",0.102,0.029,8,"All","RL"
"eta",0.004,0.001,8,"All","RL"
"alpha",0.076,0.026,9,"All","RL"
"cs",0.13,0.035,9,"All","RL"
"E0",0.101,0.027,9,"All","RL"
"eta",0.004,0.001,9,"All","RL"
"alpha",0.077,0.024,10,"All","RL"
"cs",0.127,0.034,10,"All","RL"
"E0",0.102,0.027,10,"All","RL"
"eta",0.004,0.001,10,"All","RL"
"alpha",0.076,0.023,11,"All","RL"
"cs",0.13,0.032,11,"All","RL"
"E0",0.105,0.026,11,"All","RL"
"eta",0.004,0.001,11,"All","RL"
"alpha",0.074,0.021,12,"All","RL"
"cs",0.128,0.031,12,"All","RL"
"E0",0.105,0.026,12,"All","RL"
"eta",0.004,0.001,12,"All","RL"
"alpha",0.076,0.023,13,"All","RL"
"cs",0.135,0.031,13,"All","RL"
"E0",0.104,0.022,13,"All","RL"
"eta",0.004,0.001,13,"All","RL"
"alpha",0.078,0.021,14,"All","RL"
"cs",0.131,0.026,14,"All","RL"
"E0",0.104,0.021,14,"All","RL"
"eta",0.004,0.001,14,"All","RL"
"alpha",0.081,0.018,15,"All","RL"
"cs",0.138,0.026,15,"All","RL"
"E0",0.098,0.024,15,"All","RL"
"eta",0.004,0.001,15,"All","RL"
"alpha",0.08,0.019,16,"All","RL"
"cs",0.132,0.024,16,"All","RL"
"E0",0.104,0.02,16,"All","RL"
"eta",0.004,0.001,16,"All","RL"
"alpha",0.083,0.019,17,"All","RL"
"cs",0.133,0.025,17,"All","RL"
"E0",0.101,0.022,17,"All","RL"
"eta",0.004,0.001,17,"All","RL"
"alpha",0.078,0.019,18,"All","RL"
"cs",0.129,0.023,18,"All","RL"
"E0",0.103,0.019,18,"All","RL"
"eta",0.004,0.001,18,"All","RL"
"alpha",0.077,0.017,19,"All","RL"
"cs",0.131,0.023,19,"All","RL"
"E0",0.106,0.02,19,"All","RL"
"eta",0.004,0.001,19,"All","RL"
"alpha",0.078,0.016,20,"All","RL"
"cs",0.132,0.023,20,"All","RL"
"E0",0.106,0.017,20,"All","RL"
"eta",0.004,0.001,20,"All","RL"
"alpha",0.078,0.016,21,"All","RL"
"cs",0.131,0.022,21,"All","RL"
"E0",0.106,0.017,21,"All","RL"
"eta",0.004,0.001,21,"All","RL"
"alpha",0.078,0.016,22,"All","RL"
"cs",0.133,0.021,22,"All","RL"
"E0",0.107,0.015,22,"All","RL"
"eta",0.004,0.001,22,"All","RL"
"alpha",0.079,0.015,23,"All","RL"
"cs",0.133,0.021,23,"All","RL"
"E0",0.107,0.016,23,"All","RL"
"eta",0.004,0.001,23,"All","RL"
"alpha",0.078,0.015,24,"All","RL"
"cs",0.131,0.022,24,"All","RL"
"E0",0.106,0.016,24,"All","RL"
"eta",0.004,0.001,24,"All","RL"
"alpha",0.08,0.015,25,"All","RL"
"cs",0.13,0.02,25,"All","RL"
