"parameter","mean","sd","pt","group","model"
"cs",0.207,0.003,99,"All","Random"
"eta",0.004,0,99,"All","Random"
"C",0.001,0,100,"All","Random"
"cs",0.206,0.003,100,"All","Random"
"eta",0.004,0,100,"All","Random"
"C",0.001,0,101,"All","Random"
"cs",0.206,0.003,101,"All","Random"
"eta",0.004,0,101,"All","Random"
"C",0.001,0,102,"All","Random"
"cs",0.206,0.003,102,"All","Random"
"eta",0.004,0,102,"All","Random"
"C",0.001,0,103,"All","Random"
"cs",0.206,0.002,103,"All","Random"
"eta",0.004,0,103,"All","Random"
"C",0.001,0,104,"All","Random"
"cs",0.206,0.002,104,"All","Random"
"eta",0.004,0,104,"All","Random"
"C",0.001,0,105,"All","Random"
"cs",0.206,0.002,105,"All","Random"
"eta",0.004,0,105,"All","Random"
"C",0.001,0,106,"All","Random"
"cs",0.206,0.002,106,"All","Random"
"eta",0.004,0,106,"All","Random"
"C",0.001,0,107,"All","Random"
"cs",0.206,0.001,107,"All","Random"
"eta",0.004,0,107,"All","Random"
"C",0.001,0,108,"All","Random"
"cs",0.206,0,108,"All","Random"
"eta",0.004,0,108,"All","Random"
