"modelName","parName","condDiff","L_HDI","U_HDI"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_w0","LVHS-HVHS","-0.956256001462965","0.274599579037965"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_cs","LVHS-HVHS","-18.116401895371","12.3085508407144"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_psi","LVHS-HVHS","-2.65921369557336","4.60421860348081"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_eta","LVHS-HVHS","-2.41688791547196","5.97544155980768"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_xi","LVHS-HVHS","-2.29280539232065","4.79503453000179"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_E0","LVHS-HVHS","-78.6910985755378","33.7850736813077"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_w0","LVHS-HVHS","-3.47165820760899","1.16557160700931"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_cs","LVHS-HVHS","-34.2541644593499","37.1108818781448"
"m4_C_sliced2_halfStudentT_reparam_confEs_norm","sigma_eta","LVHS-HVHS","-2.56138745563966","7.69966794006462"
"m4_C_sliced2_halfStudentT_reparam_confEs_norm","sigma_C","LVHS-HVHS","-13.3111581930492","15.2697321393726"
"m4_C_sliced2_halfStudentT_reparam_confEs_norm","sigma_cs","LVHS-HVHS","-70.1498106829898","80.6460375869254"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","sigma_E0","HVLS-HVHS","-1.55659779422207","1.40940318346259"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","sigma_alpha","HVLS-HVHS","-0.838339743774321","1.06405233364367"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","sigma_gam","HVLS-HVHS","-2.80756628309374","2.66830263663351"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","sigma_eta","HVLS-HVHS","-45.5032271909353","55.2948879400819"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","sigma_cs","HVLS-HVHS","-18.1305113364993","4.07863680466128"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_E0","HVLS-HVHS","-0.590429084015572","0.47857747739563"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_alpha","HVLS-HVHS","-3.47819257528935","2.93815109194027"
